client_id,created_at,enable_ai_esp_matching,follow_up_percentage,id,max_leads_per_day,min_time_btwn_emails,name,parent_campaign_id,schedule_start_time,scheduler_cron_value.days,scheduler_cron_value.endHour,scheduler_cron_value.startHour,scheduler_cron_value.tz,send_as_plain_text,status,stop_lead_settings,track_settings,unsubscribe_text,updated_at,user_id
23571,2025-02-05T14:42:01.529Z,False,50,1451849,500,10,05/02 | CONF | Sequence #5: Michael’s suggestion  | Reassigned Jan 94 senders,,,"[1, 2, 3, 4, 5, 0, 6]",16:06,06:24,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
21470,2025-02-05T14:02:08.887Z,False,100,1451524,100,15,Warm FUs,1451521,,"[1, 2, 3, 4, 5]",18:45,08:32,Pacific/Enderbury,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T11:00:21.030Z,2368
21470,2025-02-05T14:02:08.881Z,False,100,1451523,100,20,OOO,1451521,,"[1, 2, 3, 4, 5]",17:45,06:57,Etc/GMT,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_LINK_CLICK""]",,2025-09-14T02:02:20.639Z,2368
1885,2025-02-05T11:15:52.177Z,False,100,1450467,100,20,OOO,1450392,,"[1, 2, 3, 4, 5]",16:56,07:36,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T09:06:15.446Z,2368
1885,2025-02-05T11:13:34.373Z,False,40,1450459,100,20,warm FUs,1450392,,"[1, 2, 3, 4, 5]",20:18,10:11,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T09:06:21.352Z,2368
2754,2025-02-04T09:00:01.836Z,False,100,1443919,100,20,OOO,1443917,,"[1, 2, 3, 4, 5]",15:29,09:46,Etc/GMT,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_LINK_CLICK""]",,2025-09-14T02:02:05.974Z,2368
2754,2025-01-31T07:13:22.862Z,False,100,1422506,100,20,OOO,1422503,,"[1, 2, 3, 4, 5]",17:00,06:25,Etc/GMT,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_LINK_CLICK""]",,2025-09-14T00:00:20.945Z,2368
2754,2025-01-31T07:13:22.726Z,False,50,1422503,20,10,01/31 | CWT | Sequence #4: winning seq rewritten | industrial businesses| superwave,,,"[1, 2, 3, 4, 5, 0, 6]",19:01,09:20,America/New_York,True,ACTIVE,CLICK_ON_A_LINK,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
1885,2025-01-28T12:37:50.349Z,False,100,1408024,100,20,OOO,1408018,,"[1, 2, 3, 4, 5]",17:49,09:32,Etc/GMT+4,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
21470,2025-01-25T06:51:23.057Z,False,100,1385322,100,20,OOO,1385319,,"[1, 2, 3, 4, 5]",16:53,06:37,Etc/GMT,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_LINK_CLICK""]",,2025-09-14T00:00:20.945Z,2368
23571,2025-01-09T12:11:47.314Z,False,50,1266517,200,10,01/09 | CONF | Sequence #3: Roofing + city question  | Reassigned gmail AI senders,,,"[1, 2, 3, 4, 5, 0, 6]",18:18,10:59,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
23571,2025-01-08T16:18:39.843Z,False,50,1260307,500,20,01/08 | CONF | Sequence #2: Dentists + city question   | Reassigned AI senders ,,,"[1, 2, 3, 4, 5, 0, 6]",19:31,07:48,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
23571,2024-12-16T09:58:42.349Z,False,100,1110695,100,20,Out Of Office,1070660,,"[1, 2, 3, 4, 5, 0, 6]",19:25,07:33,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T09:06:50.016Z,2368
23571,2024-12-09T17:16:29.815Z,False,50,1070660,170,20,12/9 | CONF | Sequence #1: HVAC + HVAC case study  | Reassigned AI senders,,,"[1, 2, 3, 4, 5, 0, 6]",16:24,08:43,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T11:03:15.905Z,2368
831,2024-11-22T10:32:30.921Z,False,50,955369,800,60,"If ""Yes"" to local SEO question",955367,,"[1, 2, 3, 4, 5, 0, 6]",23:16,01:00,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",Not interested anymore? Let me know and we'll add you to our Do Not Contact List,2025-09-14T04:00:20.863Z,2368
4473,2024-11-14T07:01:47.860Z,False,100,899109,200,20,OOO,899108,,"[1, 2, 3, 4, 5]",12:32,04:27,America/Bogota,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T05:00:20.870Z,2368
